"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","mpdci",,,,"User:","root"
"Cmdline:","dstat -c -C 1,2,3,4,5,6,7,total --output cpufile1",,,,"Date:","16 May 2016 16:34:40 UTC"

"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq"
17.172,9.091,3.030,70.707,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,6.931,82.178,8.911,0.0,0.990,0.0,0.0,100.0,0.0,0.0,0.0,1.020,1.020,44.898,53.061,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.635,3.011,77.666,16.562,0.0,0.125
0.0,4.040,0.0,95.960,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,87.0,13.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,97.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.250,0.500,85.125,14.125,0.0,0.0
32.673,21.782,0.990,44.554,0.0,0.0,0.0,0.0,61.224,38.776,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.041,97.959,0.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.146,3.518,73.618,18.719,0.0,0.0
57.0,36.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,96.970,1.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.152,5.019,86.826,1.004,0.0,0.0
55.446,19.802,17.822,6.931,0.0,0.0,10.101,5.051,82.828,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.031,98.969,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.186,3.652,87.028,1.134,0.0,0.0
18.0,14.0,49.0,19.0,0.0,0.0,32.292,10.417,37.500,19.792,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,82.0,15.0,0.0,0.0,6.305,4.540,80.454,8.701,0.0,0.0
0.0,8.0,38.0,53.0,0.0,1.0,0.0,1.0,30.0,69.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.960,96.040,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.0,14.0,45.0,26.0,0.0,0.0,1.880,3.509,69.674,24.937,0.0,0.0
26.263,3.030,67.677,3.030,0.0,0.0,18.182,11.111,68.687,2.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,95.960,2.020,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,14.0,62.0,4.0,0.0,0.0,8.050,3.774,86.918,1.258,0.0,0.0
22.0,9.0,67.0,2.0,0.0,0.0,20.202,13.131,63.636,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.051,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,24.0,5.0,70.0,1.0,0.0,0.0,8.271,4.135,86.717,0.877,0.0,0.0
19.802,15.842,56.436,7.921,0.0,0.0,30.0,7.0,61.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.124,95.876,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,11.111,5.051,81.818,2.020,0.0,0.0,7.673,4.151,86.667,1.509,0.0,0.0
38.144,19.588,37.113,5.155,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.0,4.124,95.876,0.0,0.0,0.0,17.822,14.851,62.376,4.950,0.0,0.0,6.936,5.044,86.885,1.135,0.0,0.0
9.091,2.020,21.212,67.677,0.0,0.0,0.0,0.990,13.861,85.149,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,10.0,89.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,78.0,0.0,0.0,1.252,0.876,46.809,51.064,0.0,0.0
0.0,0.0,94.949,5.051,0.0,0.0,1.0,5.0,90.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.245,86.735,1.020,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,86.0,11.0,0.0,0.0,56.122,12.245,27.551,4.082,0.0,0.0,7.026,4.642,84.818,3.388,0.0,0.125
6.931,14.851,37.624,40.594,0.0,0.0,0.0,11.111,88.889,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,0.0,1.020,96.939,2.041,0.0,0.0,0.0,17.172,49.495,33.333,0.0,0.0,0.980,1.961,97.059,0.0,0.0,0.0,1.500,8.125,80.875,9.500,0.0,0.0
1.0,2.0,55.0,42.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.245,35.714,52.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.126,2.013,75.094,22.767,0.0,0.0
36.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.119,0.125,74.407,20.350,0.0,0.0
0.0,19.588,6.186,74.227,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,3.0,96.0,0.0,0.0,0.0,0.0,2.0,95.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.020,1.020,95.918,2.041,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.252,4.161,77.175,18.411,0.0,0.0
4.0,2.0,49.0,45.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,89.899,8.081,0.0,0.0,0.0,4.082,95.918,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.626,4.005,82.228,13.141,0.0,0.0
32.653,0.0,67.347,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,19.802,14.851,64.356,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.167,11.616,75.631,8.586,0.0,0.0
2.0,4.0,42.0,51.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,42.424,15.152,42.424,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,84.0,15.0,0.0,0.0,0.251,6.266,79.699,13.659,0.0,0.125
0.0,37.624,9.901,52.475,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9.091,65.657,25.253,0.0,0.0,1.0,4.0,45.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.250,7.259,72.591,19.900,0.0,0.0
0.0,87.755,6.122,6.122,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,86.869,11.111,0.0,0.0,0.0,2.0,15.0,83.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.126,11.181,75.879,12.814,0.0,0.0
1.020,0.0,95.918,3.061,0.0,0.0,3.0,3.0,94.0,0.0,0.0,0.0,14.141,6.061,42.424,37.374,0.0,0.0,5.0,6.0,87.0,2.0,0.0,0.0,1.020,6.122,87.755,5.102,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,0.990,5.941,93.069,0.0,0.0,0.0,3.652,4.030,84.383,7.809,0.0,0.126
8.081,4.040,86.869,1.010,0.0,0.0,9.091,6.061,84.848,0.0,0.0,0.0,4.902,5.882,89.216,0.0,0.0,0.0,40.816,14.286,42.857,2.041,0.0,0.0,6.061,4.040,89.899,0.0,0.0,0.0,0.0,3.061,96.939,0.0,0.0,0.0,4.040,3.030,92.929,0.0,0.0,0.0,11.069,5.660,82.516,0.755,0.0,0.0
79.0,16.0,4.0,1.0,0.0,0.0,52.475,39.604,7.921,0.0,0.0,0.0,59.184,36.735,4.082,0.0,0.0,0.0,76.0,20.0,4.0,0.0,0.0,0.0,64.286,34.694,0.0,1.020,0.0,0.0,68.0,28.0,4.0,0.0,0.0,0.0,74.0,23.0,2.0,1.0,0.0,0.0,69.937,26.415,3.396,0.252,0.0,0.0
86.869,13.131,0.0,0.0,0.0,0.0,79.0,18.0,2.0,1.0,0.0,0.0,84.158,14.851,0.990,0.0,0.0,0.0,89.0,8.0,3.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,0.0,0.0,78.0,16.0,6.0,0.0,0.0,0.0,82.456,15.789,1.504,0.251,0.0,0.0
84.0,15.0,1.0,0.0,0.0,0.0,75.0,22.0,2.0,1.0,0.0,0.0,90.909,9.091,0.0,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,86.0,13.0,1.0,0.0,0.0,0.0,88.0,9.0,3.0,0.0,0.0,0.0,82.0,16.0,2.0,0.0,0.0,0.0,85.357,13.392,1.126,0.0,0.0,0.125
83.838,12.121,0.0,4.040,0.0,0.0,77.778,20.202,1.010,0.0,0.0,1.010,85.0,14.0,1.0,0.0,0.0,0.0,86.0,13.0,1.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,77.0,8.0,0.0,15.0,0.0,0.0,80.808,14.141,1.010,4.040,0.0,0.0,83.835,12.406,0.627,3.008,0.0,0.125
87.0,6.0,1.0,6.0,0.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,83.838,9.091,1.010,6.061,0.0,0.0,78.788,16.162,3.030,2.020,0.0,0.0,82.0,12.0,0.0,6.0,0.0,0.0,81.188,13.861,0.990,3.960,0.0,0.0,84.856,11.139,0.876,3.129,0.0,0.0
74.0,14.0,12.0,0.0,0.0,0.0,81.818,8.081,0.0,10.101,0.0,0.0,86.0,14.0,0.0,0.0,0.0,0.0,78.218,6.931,0.990,13.861,0.0,0.0,86.869,9.091,4.040,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,0.0,88.119,10.891,0.990,0.0,0.0,0.0,85.732,9.262,2.128,2.879,0.0,0.0
88.889,10.101,1.010,0.0,0.0,0.0,90.099,9.901,0.0,0.0,0.0,0.0,91.0,8.0,1.0,0.0,0.0,0.0,86.869,12.121,1.010,0.0,0.0,0.0,88.119,11.881,0.0,0.0,0.0,0.0,76.238,20.792,2.970,0.0,0.0,0.0,81.0,14.0,5.0,0.0,0.0,0.0,86.859,11.640,1.502,0.0,0.0,0.0
88.0,12.0,0.0,0.0,0.0,0.0,88.119,10.891,0.990,0.0,0.0,0.0,88.889,11.111,0.0,0.0,0.0,0.0,84.0,16.0,0.0,0.0,0.0,0.0,89.899,10.101,0.0,0.0,0.0,0.0,87.879,10.101,2.020,0.0,0.0,0.0,87.0,13.0,0.0,0.0,0.0,0.0,87.970,11.654,0.376,0.0,0.0,0.0
89.109,10.891,0.0,0.0,0.0,0.0,80.612,19.388,0.0,0.0,0.0,0.0,92.079,5.941,1.980,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,69.697,29.293,1.010,0.0,0.0,0.0,87.879,12.121,0.0,0.0,0.0,0.0,85.464,14.160,0.376,0.0,0.0,0.0
94.949,5.051,0.0,0.0,0.0,0.0,79.0,20.0,1.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,0.0,0.0,86.869,12.121,1.010,0.0,0.0,0.0,95.0,5.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,84.848,15.152,0.0,0.0,0.0,0.0,89.362,10.263,0.375,0.0,0.0,0.0
77.0,20.0,3.0,0.0,0.0,0.0,70.707,20.202,9.091,0.0,0.0,0.0,80.0,9.0,11.0,0.0,0.0,0.0,68.687,11.111,20.202,0.0,0.0,0.0,91.919,8.081,0.0,0.0,0.0,0.0,57.0,42.0,1.0,0.0,0.0,0.0,81.188,16.832,1.980,0.0,0.0,0.0,76.913,16.939,6.023,0.0,0.0,0.125
82.0,17.0,1.0,0.0,0.0,0.0,88.0,10.0,2.0,0.0,0.0,0.0,89.899,9.091,1.010,0.0,0.0,0.0,87.0,12.0,1.0,0.0,0.0,0.0,90.0,9.0,1.0,0.0,0.0,0.0,88.889,10.101,1.010,0.0,0.0,0.0,56.566,41.414,2.020,0.0,0.0,0.0,83.479,15.144,1.252,0.125,0.0,0.0
91.0,9.0,0.0,0.0,0.0,0.0,86.0,13.0,1.0,0.0,0.0,0.0,87.879,12.121,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,0.0,90.099,9.901,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,89.0,10.750,0.250,0.0,0.0,0.0
85.294,11.765,0.0,0.980,0.0,1.961,64.646,35.354,0.0,0.0,0.0,0.0,89.0,8.0,0.0,3.0,0.0,0.0,85.0,14.0,1.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,91.089,7.921,0.990,0.0,0.0,0.0,86.591,12.281,0.376,0.627,0.0,0.125
49.0,27.0,5.0,19.0,0.0,0.0,82.353,16.667,0.0,0.980,0.0,0.0,62.0,10.0,1.0,27.0,0.0,0.0,67.0,15.0,18.0,0.0,0.0,0.0,89.899,8.081,2.020,0.0,0.0,0.0,84.0,7.0,9.0,0.0,0.0,0.0,70.0,20.0,10.0,0.0,0.0,0.0,72.444,14.713,5.611,7.232,0.0,0.0
86.0,13.0,1.0,0.0,0.0,0.0,80.808,9.091,10.101,0.0,0.0,0.0,89.0,11.0,0.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,0.0,0.0,82.0,8.0,10.0,0.0,0.0,0.0,72.277,9.901,17.822,0.0,0.0,0.0,64.286,14.286,21.429,0.0,0.0,0.0,79.198,10.902,7.644,2.256,0.0,0.0
68.0,29.0,3.0,0.0,0.0,0.0,82.178,11.881,4.950,0.0,0.0,0.990,88.0,12.0,0.0,0.0,0.0,0.0,82.828,15.152,2.020,0.0,0.0,0.0,88.889,10.101,1.010,0.0,0.0,0.0,90.909,9.091,0.0,0.0,0.0,0.0,90.0,9.0,1.0,0.0,0.0,0.0,84.837,13.409,1.629,0.0,0.0,0.125
86.869,12.121,1.010,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,86.869,13.131,0.0,0.0,0.0,0.0,92.929,7.071,0.0,0.0,0.0,0.0,87.129,12.871,0.0,0.0,0.0,0.0,86.0,13.0,1.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,88.457,10.916,0.502,0.0,0.0,0.125
84.158,7.921,7.921,0.0,0.0,0.0,84.848,13.131,2.020,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,89.109,10.891,0.0,0.0,0.0,0.0,88.0,8.0,0.0,4.0,0.0,0.0,83.0,8.0,0.0,9.0,0.0,0.0,90.099,8.911,0.990,0.0,0.0,0.0,88.0,9.250,1.250,1.500,0.0,0.0
72.0,11.0,17.0,0.0,0.0,0.0,91.0,7.0,0.0,1.0,0.0,1.0,84.0,14.0,2.0,0.0,0.0,0.0,86.139,9.901,1.980,1.980,0.0,0.0,70.707,13.131,6.061,10.101,0.0,0.0,76.0,14.0,0.0,10.0,0.0,0.0,88.889,9.091,2.020,0.0,0.0,0.0,80.500,12.0,3.625,3.750,0.0,0.125
90.0,10.0,0.0,0.0,0.0,0.0,64.646,9.091,26.263,0.0,0.0,0.0,92.0,7.0,1.0,0.0,0.0,0.0,68.687,11.111,20.202,0.0,0.0,0.0,80.0,19.0,1.0,0.0,0.0,0.0,78.0,8.0,1.0,13.0,0.0,0.0,93.069,6.931,0.0,0.0,0.0,0.0,81.454,10.652,6.266,1.629,0.0,0.0
85.0,14.0,1.0,0.0,0.0,0.0,91.089,7.921,0.990,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,70.707,27.273,2.020,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,84.355,15.144,0.501,0.0,0.0,0.0
92.0,8.0,0.0,0.0,0.0,0.0,87.0,11.0,2.0,0.0,0.0,0.0,94.949,5.051,0.0,0.0,0.0,0.0,85.0,13.0,2.0,0.0,0.0,0.0,88.119,11.881,0.0,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,0.0,0.0,91.875,7.500,0.625,0.0,0.0,0.0
90.909,9.091,0.0,0.0,0.0,0.0,84.0,12.0,1.0,3.0,0.0,0.0,85.859,12.121,2.020,0.0,0.0,0.0,86.0,13.0,1.0,0.0,0.0,0.0,89.899,9.091,1.010,0.0,0.0,0.0,78.571,10.204,0.0,11.224,0.0,0.0,98.020,1.980,0.0,0.0,0.0,0.0,88.206,9.285,0.627,1.757,0.0,0.125
82.0,9.0,9.0,0.0,0.0,0.0,60.606,14.141,4.040,21.212,0.0,0.0,72.0,9.0,19.0,0.0,0.0,0.0,88.889,10.101,1.010,0.0,0.0,0.0,89.109,6.931,1.980,1.980,0.0,0.0,77.228,9.901,0.990,11.881,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,80.601,8.636,4.756,6.008,0.0,0.0
88.0,8.0,4.0,0.0,0.0,0.0,85.0,13.0,2.0,0.0,0.0,0.0,74.0,7.0,19.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,75.758,10.101,14.141,0.0,0.0,0.0,87.0,8.0,5.0,0.0,0.0,0.0,79.798,9.091,11.111,0.0,0.0,0.0,84.981,8.135,6.884,0.0,0.0,0.0
27.723,8.911,63.366,0.0,0.0,0.0,38.144,9.278,52.577,0.0,0.0,0.0,64.0,4.0,31.0,1.0,0.0,0.0,66.667,6.061,26.263,1.010,0.0,0.0,30.392,7.843,61.765,0.0,0.0,0.0,49.0,4.0,47.0,0.0,0.0,0.0,70.588,10.784,18.627,0.0,0.0,0.0,55.013,7.018,37.719,0.251,0.0,0.0
57.426,6.931,35.644,0.0,0.0,0.0,35.0,6.0,59.0,0.0,0.0,0.0,66.0,9.0,25.0,0.0,0.0,0.0,31.313,7.071,60.606,1.010,0.0,0.0,40.404,4.040,55.556,0.0,0.0,0.0,60.606,26.263,13.131,0.0,0.0,0.0,33.0,4.0,63.0,0.0,0.0,0.0,50.0,9.0,40.750,0.250,0.0,0.0
28.283,4.040,67.677,0.0,0.0,0.0,50.495,3.960,45.545,0.0,0.0,0.0,32.323,5.051,62.626,0.0,0.0,0.0,48.0,11.0,37.0,4.0,0.0,0.0,25.253,1.010,73.737,0.0,0.0,0.0,22.222,5.051,59.596,12.121,0.0,1.010,70.297,8.911,20.792,0.0,0.0,0.0,42.535,5.646,49.184,2.635,0.0,0.0
35.644,4.950,59.406,0.0,0.0,0.0,34.343,3.030,62.626,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,4.040,1.010,42.424,52.525,0.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,8.081,1.010,90.909,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,14.088,4.780,72.830,8.302,0.0,0.0
31.313,5.051,63.636,0.0,0.0,0.0,9.091,7.071,83.838,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,0.0,4.082,44.898,51.020,0.0,0.0,0.0,1.980,98.020,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,11.0,5.0,43.0,40.0,0.0,1.0,6.767,3.383,74.937,14.787,0.0,0.125
1.010,0.0,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,0.0,99.010,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.375,0.125,74.718,24.781,0.0,0.0
0.0,5.0,83.0,12.0,0.0,0.0,1.031,0.0,98.969,0.0,0.0,0.0,0.0,2.020,74.747,23.232,0.0,0.0,1.020,1.020,45.918,52.041,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,1.980,3.960,94.059,0.0,0.0,0.0,7.843,8.824,79.412,3.922,0.0,0.0,1.509,3.270,75.975,19.245,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.061,2.041,94.898,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.737,30.526,3.158,11.579,0.0,0.0,6.936,4.666,86.885,1.513,0.0,0.0
